"Date Printed: Monday, April 24, 2023 5:31:48 PM"
Title: "HIV prevalence | 2020 (COVID-19 Pandemic) | Alcona County, MI | Alger County, MI | Allegan County, MI | Alpena County, MI | Antrim County, MI | Arenac County, MI | Baraga County, MI | Barry County, MI | Bay County, MI | Benzie County, MI | Berrien County, MI | Branch County, MI | Calhoun County, MI | Cass County, MI | Charlevoix County, MI | Cheboygan County, MI | Chippewa County, MI | Clare County, MI | Clinton County, MI | Crawford County, MI | Delta County, MI | Dickinson County, MI | Eaton County, MI | Emmet County, MI | Genesee County, MI | Gladwin County, MI | Gogebic County, MI | Grand Traverse County, MI | Gratiot County, MI | Hillsdale County, MI | Houghton County, MI | Huron County, MI | Ingham County, MI | Ionia County, MI | Iosco County, MI | Iron County, MI | Isabella County, MI | Jackson County, MI | Kalamazoo County, MI | Kalkaska County, MI | Kent County, MI | Keweenaw County, MI | Lake County, MI | Lapeer County, MI | Leelanau County, MI | Lenawee County, MI | Livingston County, MI | Luce County, MI | Mackinac County, MI | Macomb County, MI | Manistee County, MI | Marquette County, MI | Mason County, MI | Mecosta County, MI | Menominee County, MI | Midland County, MI | Missaukee County, MI | Monroe County, MI | Montcalm County, MI | Montmorency County, MI | Muskegon County, MI | Newaygo County, MI | Oakland County, MI | Oceana County, MI | Ogemaw County, MI | Ontonagon County, MI | Osceola County, MI | Oscoda County, MI | Otsego County, MI | Ottawa County, MI | Presque Isle County, MI | Roscommon County, MI | Saginaw County, MI | Sanilac County, MI | Schoolcraft County, MI | Shiawassee County, MI | St. Clair County, MI | St. Joseph County, MI | Tuscola County, MI | Van Buren County, MI | Washtenaw County, MI | Wayne County, MI | Wexford County, MI | All races/ethnicities | Male | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Alcona County","Alcona County, MI","26001","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","4,814"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Alger County","Alger County, MI","26003","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","8","177.6","4,504"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Allegan County","Allegan County, MI","26005","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","111","225.3","49,275"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Alpena County","Alpena County, MI","26007","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","12,125"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Antrim County","Antrim County, MI","26009","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","18","175.2","10,273"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Arenac County","Arenac County, MI","26011","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","6,598"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Baraga County","Baraga County, MI","26013","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","16","396.7","4,033"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Barry County","Barry County, MI","26015","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","18","68.2","26,408"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Bay County","Bay County, MI","26017","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","74","171.4","43,186"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Benzie County","Benzie County, MI","26019","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","7,746"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Berrien County","Berrien County, MI","26021","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","158","250.4","63,089"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Branch County","Branch County, MI","26023","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","18,848"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Calhoun County","Calhoun County, MI","26025","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","154","282.9","54,440"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Cass County","Cass County, MI","26027","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","14","63.1","22,175"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Charlevoix County","Charlevoix County, MI","26029","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","11,314"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Cheboygan County","Cheboygan County, MI","26031","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","11,283"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Chippewa County","Chippewa County, MI","26033","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","17,985"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Clare County","Clare County, MI","26035","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","28","212.6","13,171"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Clinton County","Clinton County, MI","26037","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","60","180.4","33,268"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Crawford County","Crawford County, MI","26039","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","6,248"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Delta County","Delta County, MI","26041","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","16","104.9","15,251"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Dickinson County","Dickinson County, MI","26043","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","10,844"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Eaton County","Eaton County, MI","26045","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","75","163.0","46,024"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Emmet County","Emmet County, MI","26047","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","14,284"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Genesee County","Genesee County, MI","26049","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","480","295.3","162,534"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Gladwin County","Gladwin County, MI","26051","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","11,013"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Gogebic County","Gogebic County, MI","26053","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","6,190"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Grand Traverse County","Grand Traverse County, MI","26055","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","75","191.2","39,231"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Gratiot County","Gratiot County, MI","26057","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","18,803"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Hillsdale County","Hillsdale County, MI","26059","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","19,222"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Houghton County","Houghton County, MI","26061","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","16,336"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Huron County","Huron County, MI","26063","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","13,190"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Ingham County","Ingham County, MI","26065","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","336","278.2","120,756"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Ionia County","Ionia County, MI","26067","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","55","186.1","29,562"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Iosco County","Iosco County, MI","26069","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","10,999"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Iron County","Iron County, MI","26071","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","4,854"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Isabella County","Isabella County, MI","26073","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","36","122.0","29,515"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Jackson County","Jackson County, MI","26075","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","194","286.7","67,664"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Kalamazoo County","Kalamazoo County, MI","26077","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","320","293.3","109,088"
