"Date Printed: Monday, April 24, 2023 5:31:42 PM"
Title: "PrEP coverage and number of persons prescribed | 2021 | Alcona County, MI | Alger County, MI | Allegan County, MI | Alpena County, MI | Antrim County, MI | Arenac County, MI | Baraga County, MI | Barry County, MI | Bay County, MI | Benzie County, MI | Berrien County, MI | Branch County, MI | Calhoun County, MI | Cass County, MI | Charlevoix County, MI | Cheboygan County, MI | Chippewa County, MI | Clare County, MI | Clinton County, MI | Crawford County, MI | Delta County, MI | Dickinson County, MI | Eaton County, MI | Emmet County, MI | Genesee County, MI | Gladwin County, MI | Gogebic County, MI | Grand Traverse County, MI | Gratiot County, MI | Hillsdale County, MI | Houghton County, MI | Huron County, MI | Ingham County, MI | Ionia County, MI | Iosco County, MI | Iron County, MI | Isabella County, MI | Jackson County, MI | Kalamazoo County, MI | Kalkaska County, MI | Kent County, MI | Keweenaw County, MI | Lake County, MI | Lapeer County, MI | Leelanau County, MI | Lenawee County, MI | Livingston County, MI | Luce County, MI | Mackinac County, MI | Macomb County, MI | Manistee County, MI | Marquette County, MI | Mason County, MI | Mecosta County, MI | Menominee County, MI | Midland County, MI | Missaukee County, MI | Monroe County, MI | Montcalm County, MI | Montmorency County, MI | Muskegon County, MI | Newaygo County, MI | Oakland County, MI | Oceana County, MI | Ogemaw County, MI | Ontonagon County, MI | Osceola County, MI | Oscoda County, MI | Otsego County, MI | Ottawa County, MI | Presque Isle County, MI | Roscommon County, MI | Saginaw County, MI | Sanilac County, MI | Schoolcraft County, MI | Shiawassee County, MI | St. Clair County, MI | St. Joseph County, MI | Tuscola County, MI | Van Buren County, MI | Washtenaw County, MI | Wayne County, MI | Wexford County, MI | All races/ethnicities | Male | Ages 13 years and older | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
NA - Not Applicable.



Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2021","MI","Alcona County","Alcona County, MI","26001","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Alger County","Alger County, MI","26003","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Allegan County","Allegan County, MI","26005","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Alpena County","Alpena County, MI","26007","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Antrim County","Antrim County, MI","26009","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Arenac County","Arenac County, MI","26011","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Baraga County","Baraga County, MI","26013","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Barry County","Barry County, MI","26015","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Bay County","Bay County, MI","26017","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Benzie County","Benzie County, MI","26019","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Berrien County","Berrien County, MI","26021","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Branch County","Branch County, MI","26023","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Calhoun County","Calhoun County, MI","26025","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2021","MI","Cass County","Cass County, MI","26027","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Charlevoix County","Charlevoix County, MI","26029","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Cheboygan County","Cheboygan County, MI","26031","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Chippewa County","Chippewa County, MI","26033","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Clare County","Clare County, MI","26035","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
